epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1027,2.31123,2.69799,1.40366,5.83227,2.17329,0.00324,0.5,0.01153,0.00863,0.00432,0.66667,0.01616,0.00478,2.26273,3.08799,1.10703,4.0094,1.95398,0.09802,2e-05,2e-05
2,64.2604,1.04914,3.07038,1.14169,2.27013,1.18411,0.00308,0.41667,0.00434,0.00197,0.00554,0.75,0.01429,0.00546,2.98213,2.96273,0.90234,4.11937,2.42598,0.0950495,4.9505e-05,4.9505e-05
3,82.6587,1.13542,3.45715,1.18553,1.6824,1.1361,0,0,0,0,0.00688,0.25,0.00535,0.00153,4.57032,3.15092,0.86957,4.70236,4.51226,0.0920784,7.8416e-05,7.8416e-05
4,98.8636,0.93761,3.07567,1.04273,1.01389,1.03035,0,0,0,0,0.03571,0.08333,0.03331,0.01665,4.53411,3.06205,0.84597,4.75535,4.55149,0.0891067,0.000106733,0.000106733
5,114.82,1.01437,2.89525,1.06359,1.08461,1.06342,0,0,0,0,0.03125,0.08333,0.03127,0.01564,4.29364,3.00048,0.69835,4.85635,3.60969,0.0861345,0.000134456,0.000134456
6,130.577,0.92523,2.90341,0.87534,0.8274,0.95847,0.05882,0.08333,0.03217,0.00322,0.05882,0.08333,0.04811,0.02406,4.2418,2.99815,0.62883,4.87337,3.24454,0.0831616,0.000161585,0.000161585
7,148.234,0.89174,3.27036,0.86547,0.80295,0.95617,0,0,0,0,0.1,0.08333,0.05629,0.00563,3.9093,2.97168,0.60198,5.11158,3.0361,0.0801881,0.00018812,0.00018812
8,164.477,1.02787,3.49698,0.88942,1.04643,1.02043,0,0,0,0,0,0,0,0,3.71561,2.98594,0.59933,5.39926,3.01323,0.0772141,0.000214061,0.000214061
9,181.228,0.95353,3.0217,0.74942,0.74753,0.95577,0,0,0,0,0,0,0,0,3.53694,3.03369,0.60346,6.21031,2.95096,0.0742394,0.000239408,0.000239408
10,197.491,0.83788,3.07041,0.71432,0.64549,0.94524,0,0,0,0,0,0,0,0,3.35596,3.04684,0.61046,6.62295,2.92214,0.0712642,0.000264161,0.000264161
11,215.389,1.12789,3.09218,0.87422,0.73863,1.1624,0,0,0,0,0,0,0,0,2.99939,3.06342,0.60713,6.41914,2.63192,0.0682883,0.00028832,0.00028832
