epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2635,1.99338,2.79601,0.58246,4.87495,2.0332,0.91404,0.33333,0.45531,0.35087,0.68424,0.25,0.31701,0.14719,0.99085,3.41008,0.41667,3.10161,1.0594,0.09602,2e-05,2e-05
2,17.9469,1.22565,2.97362,0.52496,1.5237,1.26484,0.68847,0.55451,0.65343,0.52701,0.68847,0.55451,0.62053,0.25886,1.00021,3.31577,0.3437,1.7588,1.0786,0.0910448,4.47752e-05,4.47752e-05
3,21.0882,1.17862,2.64364,0.52734,1.12246,1.19733,0.94115,0.5,0.58309,0.49803,0.94115,0.5,0.5652,0.18022,1.14412,3.21547,0.3198,1.95511,1.10589,0.0860693,6.93007e-05,6.93007e-05
4,24.5247,1.20179,2.80977,0.44563,1.00769,1.12967,0.96801,0.66667,0.74128,0.49816,0.72549,0.5,0.49474,0.07177,1.31965,3.76828,0.26555,1.56696,1.04568,0.0810936,9.35764e-05,9.35764e-05
5,27.8813,1.31004,2.90672,0.47236,0.95749,1.16868,1,0.66317,0.7308,0.51957,1,0.66317,0.70744,0.24963,1.2421,3.05883,0.26731,1.30689,1.18314,0.0761176,0.000117602,0.000117602
6,31.0471,1.08929,2.90719,0.44285,1.03849,1.06974,0.91164,0.75,0.90623,0.62564,1,0.72995,0.7514,0.17319,0.96939,3.36286,0.24085,1.19312,0.91178,0.0711414,0.000141379,0.000141379
7,34.3075,1.18809,2.62122,0.39804,0.88056,1.08764,0.8143,0.5,0.59642,0.51649,0.8143,0.5,0.56274,0.21193,0.91218,3.19673,0.21664,1.52814,0.96787,0.0661649,0.000164905,0.000164905
8,37.5162,1.11104,2.59083,0.452,1.11231,1.14648,1,0.69048,0.82259,0.56835,0.87531,0.5852,0.72611,0.24061,1.44731,3.2065,0.264,1.88411,1.28342,0.0611882,0.000188182,0.000188182
9,40.6842,1.21928,2.47641,0.45256,1.71712,1.18253,0.63847,0.4436,0.48098,0.29594,0.51796,0.36027,0.47575,0.09127,1.68026,3.27347,0.26627,2.7197,1.34988,0.0562112,0.000211209,0.000211209
10,43.8521,1.21327,2.46241,0.4366,1.54993,1.10174,0.87688,0.75,0.82193,0.56147,0.98022,0.5,0.70027,0.26398,1.01257,2.94116,0.18981,1.3442,0.96665,0.051234,0.000233986,0.000233986
11,47.1659,1.4685,2.36834,0.49365,1.13224,1.36574,0.75951,0.83333,0.87065,0.49343,0.95501,0.66667,0.7306,0.25833,1.53678,3.11729,0.20353,1.28486,1.20694,0.0462565,0.000256513,0.000256513
12,50.5444,1.37468,2.72132,0.53052,1.52055,1.29054,1,0.57026,0.61085,0.42051,0.70859,0.40671,0.31754,0.12379,1.09113,3.10275,0.19493,2.8738,1.01383,0.0412788,0.000278791,0.000278791
13,53.6714,1.29803,2.24464,0.44039,1.86217,1.20564,0.98553,0.83333,0.97214,0.7272,0.68918,0.58333,0.54916,0.19906,1.07385,2.97926,0.16332,0.87316,0.97935,0.0363008,0.000300819,0.000300819
14,56.9117,1.07536,2.65838,0.47111,1.00429,1.07049,0.98553,0.83333,0.97214,0.7272,0.68918,0.58333,0.54916,0.19906,1.07385,2.97926,0.16332,0.87316,0.97935,0.0313226,0.000322597,0.000322597
15,60.3344,1.51735,2.09707,0.50607,2.0533,1.34643,0.76823,0.75,0.76268,0.39105,0.54485,0.58333,0.50735,0.16441,1.37479,3.15406,0.19836,1.64788,1.1146,0.0263441,0.000344126,0.000344126
16,63.4977,1.22119,2.49747,0.36623,1.38669,1.18297,0.81287,1,0.93429,0.63918,0.73229,0.91211,0.81645,0.36191,1.0029,3.03938,0.17951,0.82052,0.97043,0.0213654,0.000365405,0.000365405
